S/N,POIS,ADDRESS,COMMUNITY,ROAD CONDITION,NORTHING(X),EASTING (Y)
1,KATERIS  BAMBOO,33 BOUNDARY ROAD GRA,GRA,GTR,681.799,536.968
2,PERINO HOTELS,15 BOUNDARY ROAD,GRA,GTR,618.998,536.699
3,THE SEGE HOTELS,5 BOUNDARY RoAD,GRA,GTR,619.095,536.568
4,PRESTIGE HOTEL & SUITE,,GRA,GTR,618.973,536.445
5,MR. FOOD,BEHIND TIME OUT IHAMA ROAD,GRA,GTR,618.979,536.432
6,TOKS INTERNATIONAL RESTAURANT & BAR,28  IHAMA ROAD,GRA,GTR,618.823,536.639
7,ROYAL MARBLA HO9TEL,22 IHAMA ROAD,GRA,GTR,618.810,536.652
8,ASOTIME GROOVE,IHAMA ROAD,GRA,GTR,618.794,536.686
9,VICS FOOD,36 IHAMA ROAD,GRA,GTR,618.778,536.695
10,PALOSKY HOTEL & BAR,40 IHAMA ROAD,GRA,GTR,618.772,536.704
11,RANDEKHI HOTEL,UHENUYI STREET OFF IHAMA,GRA,GTR,618.701,536.862
12,ROMIANA HOME & SUITE,8 ADUN CLOSE LIBERITY ROAD,GRA,GTR,618.653,537.084
13,MAT ICE FAST FOOD,IHAMA ROAD,GRA,GTR,618.568,536.993
14,AFECOU SUITE,OGHOSA CRESCENT OFF IHAMA,GRA,GTR,618.544,536.760
15,TURNNEL ENTERTAINMENT,IHAMA ROAD,GRA,GTR,618.476,537.131
16,VICHI GATE HOTEL & SUITES,IHAMA ROAD OPPOSITE WANTAN GARDEN,GRA,GTR,618.445,537.164
17,WANTAN GARDEN AUTHENTIC MOTEL,IHAMA ROAD OPPOSITE VICHI GATE HOTEL,GRA,GTR,618.447,537.167
18,RAMILTON MOTEL,90 IHAMA ROAD,GRA,GTR,618.323,537.332
19,CHOPVILLE RESTURANT,IHAMA ROAD,GRA,GTR,618.336,537.569
20,CREAME SUITE,BLESSESD PEOPLE STREET OFF IHAMA,GRA,GTR,618.334,537.526
21,UYI GRAND HOTEL,OPPISTE NAOMI GRADIAN,GRA,GTR,618.202,536.917
22,BOSTON HOTEL & SUITE,OGUIGO STREET OFF ADIEYAN ROAD,GRA,GTR,618.261,536.932
24,GARAVAN RESTURANT & BAR,12 AKHIOBARE STREET OFF IHAMA,GRA,GTR,618.436,537.008
25,BELLO 'X' CRIP LODGING & RESTURANT,AKHIOBARE ROAD,GRA,GTR,618.421,536.707
26,INDIGO RESTURANT AND LOUNG,AKHIOBARE ROAD,GRA,GTR,618.415,536.718
27,WESLEY HOTELS,2 AGUELE DRIVE OFF AKHIOBARE,GRA,GTR,618.515,536.639
28,RICHFIELD  HOTEL,2BOB OSHODIN OFF AKHIOBARE ROAD,GRA,GTR,618.528,536.511
29,DEZENITH GUEST HOUSE,10 EDERARO AVENUE OFF ONI STREET,GRA,BUT,618.730,536.465
30,OMORITANA HOTELS & SUITE,13 ONIN STREET,GRA,GTR,618.871,536.455
31,DE-REGAL SUITE &  HOTEL,4 ONI STREET,GRA,GTR,618.922,536.447
34,EJOSA GUARDEN,AKHIOBARE ROAD,GRA,GTR,618.394,536.758
35,BENCO GUEST HOUSE,ADIEYAN ROAD,GRA,GTR,618.326,537.102
36,CHIKEN REPUBLIC,AKENZA JUNCTION,GRA,GTR,619.410,536.769
37,EDO CARVING CENRE,AIRPORT ROAD,,GTR,619.737,537.123
38,MOTEL BENIN PLAZA,RESERVATION ROAD,GRA,GTR,619.539,537.268
39,TETRAZZINI,70 AIRPORT ROAD,GRA,GTR,619.397,536.707
