S/N,NAMES OF POIS,ADDRESS,COMMUNITY,ROAD CONDITION,CORDINATES,,SCHOOL
1,Excellent Medical Center.,Okhoro road,Okhoro,GTR,622.339,537.695,
2,Bar,Okhoro road,Okhoro,GTR,622.419,537.649,
3,Abundant Grace Church,Okhoro road,Okhoro,GTR,622.460,537.648,
4,Bar ,Okhoro road,Okhoro,GTR,622.511,538.109,
5,Randy Motel,Okhoro road,Okhoro,GTR,622.513,538.169,
6,Oxonian Academy,Okhoro road,Okhoro,GTR,622.600,538.206,SCHOOL
7,Resturant And Bar,Okhoro road,Okhoro,GTR,622.610,538.242,
8,Resturant And Bar,Okhoro road,Okhoro,GTR,622.616,538.248,
9,Police Station,Okhoro road,Okhoro,GTR,622.643,538.310,
10,Urban WaterBoard,Okhoro road,Okhoro,GTR,622.631,538.323,
11,Resturant And Bar,OKhoro road,Okhoro,GTR,622.656,538.328,
12,Christ Fellowship Church,Okhoro road,Okhoro,GTR,622.802,538.348,
13,Shrine,Okhoro Road,Okhoro,,622.805,538.371,
14,Urban WaterBoard,Okhoro Road,Okhoro,,622.800,538.361,
15,Everest Medical Center,Okhoro road,Okhoro,,622.763,538.517,
16,Shrine,Okhoro road,Okhoro,,622.754,538.551,
17,Resturant And Bar,Okhoro road,Okhoro,,622.312,538.550,
18,Resturant And Bar,Okhoro road,Okhoro,,622.304,538.449,
19,Christ Chosen church of God,Okhoro road,Okhoro,,622.315,538.453,
20,Jesus Power Assemblies,Okhoro road,Okhoro,,622.337,503.079,
21,Aljumah Maternity And Nursing Home,Friendship Street,Okhoro,,622.236,538.073,
22,Brano Group Of Schools,Otokhile Street,Okhoro,,622.183,538.008,SCHOOL
23,Auvak Guest House,Otokhile Street,Okhoro,,622.140,537.991,
24,Christian Penticostal Mission,Omoregie Street,Okhoro,,622.209,538.056,
25,God Grace Ministries,Omoregie Street,Okhoro,,622.196,538.154,
26,Redeemed Christian Church,Akpegu Street,Okhoro,,622.250,538.112,
27,Redeemed Christian Church,Okhoro road,Okhoro,,622.135,537.952,
28,Mtn Mast,Aisosa Street,Okhoro,,622.162,537.941,
29,Pimas Chapel,Okhoro road,Okhoro,,622.076,537.960,
30,Pimas Chapel,Okhoro road,Okhoro,,622.058,537.939,
31,Pimas Chapel,Edo-Ovbieye Street,Okhoro,,622.025,537.899,
32,Visa Mast,Omozoya Street,Okhoro,,622.088,537.898,
33,Mechanic Worshop,1st Idehen Street,Okhoro,,622.019,537.885,
34,Kings And Queens Educational Centre,Obadiaru Street,Okhoro,,621.991,537.921,SCHOOL
35,Royal High Comprehensive Schools,imade street,Okhoro,,621.843,537.819,
36,Favour Plaza,Okhoro road,Okhoro,,621.853,538.864,
37,Children University Academy,Okhoro road,Okhoro,,621.817,537.766,
38,Holan Medical Clinic,Okhoro road,Okhoro,,621.630,537.817,
39,African 1st Publisher,Okhoro road,Okhoro,,621.598,537.718,
40,Assemblies Of God,1st Federal Road,Okhoro,,621.608,537.689,
41,Okhoro Reservior,1st Federal Road,Okhoro,,621.618,537.528,
42,Lady Abeni Ophanage,1ST Federal Road,Okhoro,,621.625,537.492,
43,Lady Abeni Ophanage,1sd Federal Road,Okhoro,,621.637,537.435,
44,Sawmill,1st Federal Road,Okhoro,,621.561,537.436,
45,Sawmill,1st Federal Road,Okhoro,,621.546,537.423,
46,Sawmill,1st Federal Road,Okhoro,,621.532,537.409,
47,St. John Hospital And Maternity,1st Federal Road,Okhoro,,621.525,537.494,
48,sawmill,1st Federal Road,Okhoro,,621.471,537.516,
49,True Vine Mission Church,Okhoro road,Okhoro,,621.618,537.527,
50,Ayela Uwangue Schools,Odemwingie Street,Okhoro,,621.599,537.544,SCHOOL
52,Nigeria Union Of Local Government Employee,Obaruyi Street,Okhoro,,621.718,537.558,
53,Redeemed Christian Church,Okhoro road,Okhoro,,621.762,537.575,
54,Okhoro Hotel,Okhoro road,Okhoro,,621.840,537.565,
55,Okhoro Hotel,Okhoro road,Okhoro,,621.852,537.712,
56,Frontline Gospel Church,Okhoro road,Okhoro,,621.865,537.641,
57,Omega Church,Dandy Street,Okhoro,,621.893,537.587,
58,Bar,Abgonamwen Street,Okhoro,,621.858,537.575,
59,High Taste Guest House,Okhoro road,Okhoro,,621.800,537.563,
60,Robo Rentals,Okhoro road,Okhoro,,621.937,537.576,
61,Okhoro Market ,Efedumwuyi Street,Okhoro,,622.822,537.688,
62,Okhoro Market ,Efedumwuyi Street,Okhoro,,622.793,537.740,
63,Edo state Urban water board,Okhoro road,Okhoro,,622.631,538.789,
64,Otoikhiles Gully,,Okhoro,,622.446,538.216,
65,Christ Embassy Church,pigoson/egba,Okhoro,,622.444,538.266,
66,Remedy hope of God Ministry,pigoson/egba,Okhoro,,622.465,538.378,
67,St.joseph chosen church of God,pigoson/egba,Okhoro,,622.507,538.382,
68,Randy Motel,Okhoro road,Okhoro,,622.515,538.330,
69,Golden age Intl Ministry Inc,Osaghae street,Okhoro,,622.456,538.305,
70,d groove,Edobor street,Okhoro,,622.385,538.274,
71,Deeper life Bible Church,Edobor street,Okhoro,,622.394,538.252,
72,Word of God Mission,Edobor street,Okhoro,,622.438,538.254,
73,Abundant Grace Church,Okhoro road,Okhoro,,622.455,538.279,
74,Osas Bar,Edosa street,Okhoro,,622.371,538.277,
75,The work of Grace Ministry Inc.,Edosa street,Okhoro,,622.357,538.278,
76,Medicine store,Okhoro road,Okhoro,,622.376,538.206,
77,Bar,Okhoro road,Okhoro,,622.376,538.234,
78,Holy spirit Catholic Church,Efehi street,Okhoro,,622.255,538.254,
79,Holy spirit Catholic School,Efehi street,Okhoro,,622.281,538.144,SCHOOL
80,Bar,Okhoro road,Okhoro,,622.295,538.141,
81,The Redeem Christian Church of God,Igbineweka street,Okhoro,,622.264,538.169,
82,Transformer,Friendship Street,Okhoro,,622.196,538.137,
83,Aisumah Maternity & Nursing home,Friendship Street,Okhoro,,622.337,538.007,
84,Church of Truth,Igiehon street,Okhoro,,622.119,538.111,
85,Living faith Church (winners),Okhoro road,Okhoro,,622.068,538.109,
86,Heavenly pilgrims Church Inc.,Okhoro road,Okhoro,,622.031,538.065,
87,Jehovah shalom bible Ministry,Edo-Ovbieye Street,Okhoro,,621.983,538.003,
88,Quality Medical centre,Erinmwionghae Street,Okhoro,,622.789,537.895,
89,word gospel Church,Erinmwionghae Street,Okhoro,,622.819,537.901,
90,Ambassador Kiddies College,Erinmwionghae Street,Okhoro,,622.854,537.895,
91,JB Guest House/Restaurant and bar,Erinmwionghae Street,Okhoro,,622.919,537.919,
92,Benin Technical School,Technical school Road,Okhoro,,622.958,537.904,SCHOOL
93,Global Influence church ,Omoigui Street,Okhoro,,622.877,537.887,
94,The Redeem Christian Church of God,Omoigui Street,Okhoro,,622.854,537.867,
95,Power of Faith & Great Ministry,Oghobaghase street,Okhoro,,622.829,537.859,
96,Faith Classic Group of Schools,Oghobaghase street,Okhoro,,622.834,537.926,SCHOOL
97,Christ Flock Gospel Assembly,Oghobaghase street,Okhoro,,622.844,537.939,
98,Mast (Glo Communication),Oghobaghase street,Okhoro,,622.890,537.965,
99,Transformer,Oghobaghase street,Okhoro,,622.907,537.974,
100,Christ Chosen church of God,Oghobaghase street,Okhoro,,622.916,537.972,
101,Ultimate School,Ehigie Street,Okhoro,,622.969,537.974,SCHOOL
102,Okhoro Primary school,Oghobaghase street,Okhoro,,622.982,537.005,
103,Heart of Christ Evangelical Ministry,Adolor Street,Okhoro,,622.732,537.932,
104,Mountain of Faith ,Adolor Street,Okhoro,,622.692,538.000,
105,Bar,Omoigui Street,Okhoro,,622.724,538.033,
106,Mast (Communication),Omasuyi Lane,Okhoro,,622.699,538.056,
107,Gospel of Hope Ministries,Omasuyi Lane,Okhoro,,622.665,538.029,
108,Grace word Church,Omasuyi Lane,Okhoro,,622.630,538.997,
109,Bar,Upper Medical Stores,Okhoro,,622.454,537.944,
110,Bar,Upper Medical Stores,Okhoro,,622.472,537.992,
111,Osmike Health Services,Osasere Street,Okhoro,,622.564,537.883,
112,Akugbe parliament Bar,Akugbe Street,Okhoro,,635.714,537.994,
113,Shop,Akugbe Street,Okhoro,,635.724,537.002,
114,Bar,Akugbe Street,Okhoro,,635.760,538.016,
115,Shop,Akugbe Street,Okhoro,,635.772,562.795,
116,The Lord Chosen Charismatic Church,Akugbe Street,Okhoro,,635.796,562.806,
117,Church Car Park,Akugbe Street,Okhoro,,635.807,562.811,
118,Fountain Head of Life Gospel Church,Ewuare Street,Okhoro,,635.881,562.841,
119,Queen Hannahbel Demonstration School,Ewuare Street,Okhoro,,635.905,562.863,SCHOOL
120,Glorious Mission to all Nations,,Okhoro,,635.984,562.883,
121,Christ Holy Church,,Okhoro,,635.924,562.819,
122,Store,,Okhoro,,635.976,562.781,
123,Kingdom Hall of Jehovah witness,,Okhoro,,636.045,562.854,
124,Prophetic Power Assembly,,Okhoro,,636.035,562.828,
125,Bethsaida Missionary Clinic & Maternity,Eweka Street,Okhoro,,636.096,563.043,
126,Mast (Communication),,Okhoro,,636.200,563.014,
127,Celestial Church of Christ,Eweka Street,Okhoro,,636.232,563.105,
128,Mountain of Fire & Miracles ,Eweka Street,Okhoro,,636.264,563.100,
129,Christ the Living Word Bible Church,Eweka Street,Okhoro,,636.273,563.044,
130,Jesus House Living Word Charismatic Ministry,Eweka Street,Okhoro,,636.293,563.112,
131,Bravura Secondary School,,Okhoro,,636.316,563.111,SCHOOL
132,Beloveth of Christ Gospel Ministry,,Okhoro,,636.362,563.118,
133,Flame of Fire Revival Mission,,Okhoro,,636.311,563.151,
134,Unicent Group of Schools,,Okhoro,,636.123,563.159,SCHOOL
135,Light of Life Ministry,,Okhoro,,636.057,563.369,
136,Iyayi Cold room,Akhimien Street,Okhoro,,636.541,563.360,
137,Store,Okhoro road,Okhoro,,636.413,563.183,
138,Chosen Vessel Assembly,Okhoro road,Okhoro,,636.243,563.120,
139,Hotel Philomena,Okhoro road,Okhoro,,636.091,562.795,
140,Blue Cross Clinic,Okhoro road,Okhoro,,636.033,562.844,
141,Church of Jesus Christ of the latter day Saints,Imade street,Okhoro,,636.353,562.697,
142,Anointed City Church,Imade street,Okhoro,,636.413,562.570,
143,Shammah Holy Ghost Church,Airenakhue Street,Okhoro,,636.479,562.522,
144,Redeemed Christian Church,Airenakhue Street,Okhoro,,636.464,563.090,
145,Jesus Healing Dominion Ministry,Oronsaye Street,Okhoro,,636.510,563.007,
146,Transformer,,Okhoro,,636.498,563.055,
147,Rejoicing Assembly World Wide,,Okhoro,,636.518,563.054,
148,Drainage,,Okhoro,,636.813,563.213,
149,Jesus Triumphant Ministry,Otoide Street,Okhoro,,637.000,563.244,
150,Christ Apostolic Church,,Okhoro,,622.209,563.361,
