S/N,NAMES OF POIS,ADDRESS,COMMUNITY,ROAD CONDITION,CORDINATES,,SCHOOL
,,,,,Y,X,
1,St John the Envangelist Catholic Church,,Useh,BUR,621.176,534.530,
2,Hi-Tech Yard Construction Company,,Useh,BUR,621.234,535.038,
3,Osasima Nursing and Maternity Home,Okhokhugbo Road,Useh,BUR,621.672,534.849,
4,Store,Okhokhugbo Road,Useh,BUR,621.617,534.827,
5,Bethel World Outreach Ministries,Okhokhugbo Road,Useh,BUR,621.584,534.734,
6,Transformer,Okhokhugbo Road,Useh,BUR,621.490,534.660,
7,Bible Integrated Church,Okhokhugbo Road,Useh,BUR,621.432,534.585,
8,Store,Okhokhugbo Road,Useh,BUR,621.397,534.528,
9,Store,Okhokhugbo Road,Useh,BUR,621.352,534.443,
10,Moat,Okhokhugbo Road,Useh,BUR,621.367,534.330,
11,Divine Light Group of School,"off osadiaye Street, Okhokhugbo road",Useh,BUR,621.367,534.342,SCHOOL
12,Gospel of Christ Bible Church,Igbiaminaiha Street,Useh,BUR,621.568,534.368,
13,Store,Igbiaminaiha Street,Useh,BUR,621.479,534.363,
14,Fremase Health Care and Maternity Home,Iguikpe road,Useh,BUR,621.636,534.376,
15,Store,Iguikpe road,Useh,BUR,621.643,534.395,
16,Store,Iguikpe road,Useh,BUR,621.658,534.431,
17,Transformer,Iguikpe road,Useh,BUR,621.666,534.450,
18,Transformer,Edenaboyan,Useh,BUR,621.591,534.548,
19,His Eternal life Ministry,Izogie,Useh,BUR,621.567,534.582,
20,Christ Apostolic Church of God Mission,"By Izogie junction, Iguikpe Road",Useh,BUR,621.684,534.559,
21,Chief Olors Palace,Olor Street,Useh,BUR,621.406,535.006,
22,Awolo Shirine,Olor Street,Useh,BUR,621.307,535.037,
23,Grace Asembly Church,Olor Street,Useh,BUR,621.367,535.021,
24,Store,Cooless,Useh,BUR,621.470,534.987,
25,Store,Olor Street,Useh,BUR,621.503,534.983,
26,Light of Truth Ministry Church,Oriasogie Street,Useh,BUR,621.683,534.959,
27,Dominium Group of School,Oviasogie Street,Useh,BUR,621.681,534.965,SCHOOL
28,Useh Primary School (the back),Along Oviasogie Street,Useh,BUR,621.701,535.000,SCHOOL
29,Dominium Children Acedemy,Oba-odio Street,Useh,BUR,621.642,534.849,SCHOOL
30,Adonai Evangel Schools,Upper Orimiya Street,Useh,BUR,621.291,534.947,SCHOOL
31,Jubilee Group of School,Upper Orimiya Street,Useh,BUR,621.298,534.987,SCHOOL
32,lady v Store,Upper Orimiya Street,Useh,BUR,621.296,535.000,
33,Store,Coolex Street,Useh,BUR,621.430,534.873,
34,Bar,Coolex Street,Useh,BUR,621.418,534.802,
35,Bar,Coolex Street,Useh,BUR,621.415,534.793,
36,Store,Coolex Street,Useh,BUR,621.422,534.796,
37,Store,Coolex Street,Useh,BUR,621.418,534.785,
38,Saviors Apostolic Grace Mission inc,Coolex Street,Useh,BUR,621.809,534.658,
39,ETISALAT MAST,ODEH STREET,USEH,,622.009,535.214,
40,OSAGIDE STREET ,OFF MOBLIE AVENUE,USEH,BUR,621.583,535.316,
41,THE GOSPLE FAITH MISSION ,OSAGIEDE STREET,USEH,BUR,621.561,535.213,
42,SHOPPING MALL ,SILUKO ROAD ,USEH,BTR,621.821,535.345,
43,OGIDA BARRACKS MARKET,SILUKO ROAD ,USEH,BTR,621.839,535.320,
44,THE NIGERIA POLICE DIVISION HQ,SILUKO ROAD ,USEH,BTR,621.859,535.277,
45,TEACHERS HOUSE ,SILUKO ROAD ,USEH,BTR,621.889,535.197,
46,TRANSFORMER,SILUKO ROAD ,USEH,BTR,621.886,535.202,
47,BLESSED SAINTS PAUL MEMORIAL GROUP OF SCHOOL,OJO STREET BY POWERLINE,USEH,BUR,621.934,535.223,SCHOOL
48,CHRIST CHOSEN CHURCH OF GOD,OJO STREET BY POWERLINE,USEH,BUR,621.951,535.226,
49,JESUS REVIVAL MINISTRY,OJO STREET BY POWERLINE,USEH,BUR,621.021,535.240,
50,DE PRINCE GUEST HOUSE,OJO STREET BY POWERLINE,USEH,BUR,621.052,535.248,
51,FIRST CHRIST AMBASSADOR DELIVERANCE CHURCH,OJO STREET BY POWERLINE,USEH,BUR,621.104,535.256,
52,KELVIN MEDICAL STORE,OJO STREET BY POWERLINE,USEH,BUR,622.131,535.261,
53,RULERS CHRISTIAN ASSEMBLY,OJO STREET BY POWERLINE,USEH,BUR,622.156,535.264,
54,ODEH LANE,OJO STREET BY POWERLINE,USEH,BUR,622.206,535.276,
